17:09:29:21:17:18.8::Harkken,P[511693318@23789296 Harkken@sshookman],,*,,*,Survivor's Gift,Pn.3tizq11,HitPoints,,-23.9631,-23.6763
17:09:29:21:17:19.0::Harkken,P[511693318@23789296 Harkken@sshookman],,,Shocktroop Warlord,C[185055 Ashmadai_Shocktroop_Devil_Contest],Seismic Shot,Pn.C1igq4,Physical,Critical,3512.6,4115.57
17:09:29:21:17:19.0::Harkken,P[511693318@23789296 Harkken@sshookman],,,Imp,C[185057 Ashmadai_Imp_Basic],Seismic Shot,Pn.C1igq4,Physical,Critical|Kill,3979.4,4191.09
17:09:29:21:17:19.0::Harkken,P[511693318@23789296 Harkken@sshookman],,,Imp,C[185058 Ashmadai_Imp_Basic],Seismic Shot,Pn.C1igq4,Physical,Critical|Flank|Kill,4740.81,4993.01
17:09:29:21:17:19.5::Harkken,P[511693318@23789296 Harkken@sshookman],Cragg,C[185516 Pet_Dog],Shocktroop Warlord,C[185055 Ashmadai_Shocktroop_Devil_Contest],Takedown,Pn.Ebxsjf,Physical,,1589.18,1994.81
17:09:29:21:17:19.5::Shocktroop Warlord,C[185055 Ashmadai_Shocktroop_Devil_Contest],,*,Harkken,P[511693318@23789296 Harkken@sshookman],Flame Breath,Pn.2cnljp,Physical,Flank,482.722,595.654
17:09:29:21:17:19.8::Harkken,P[511693318@23789296 Harkken@sshookman],,*,,*,Survivor's Gift,Pn.3tizq11,HitPoints,,-23.9631,-23.6763
17:09:29:21:17:20.4::Shocktroop Warlord,C[185055 Ashmadai_Shocktroop_Devil_Contest],,*,Harkken,P[511693318@23789296 Harkken@sshookman],Flame Breath,Pn.2cnljp,Physical,Flank,105.31,142.442
17:09:29:21:17:20.5::Harkken,P[511693318@23789296 Harkken@sshookman],,*,Imp,C[185059 Ashmadai_Imp_Basic],Marauder's Escape,Pn.61u44g,Physical,,287.136,302.411
17:09:29:21:17:20.5::Harkken,P[511693318@23789296 Harkken@sshookman],,*,,*,Marauder's Escape,Pn.Fis94n1,Power,,-51.3152,0
17:09:29:21:17:20.8::Harkken,P[511693318@23789296 Harkken@sshookman],,*,Imp,C[185056 Ashmadai_Imp_Basic],Marauder's Escape,Pn.61u44g,Physical,,277.11,291.852
17:09:29:21:17:20.8::Harkken,P[511693318@23789296 Harkken@sshookman],,*,,*,Survivor's Gift,Pn.3tizq11,HitPoints,,-23.9631,-23.6763
17:09:29:21:17:21.1::Harkken,P[511693318@23789296 Harkken@sshookman],,*,Imp,C[185059 Ashmadai_Imp_Basic],Marauder's Escape,Pn.61u44g,Physical,,309.156,325.603
17:09:29:21:17:21.4::Shocktroop Warlord,C[185055 Ashmadai_Shocktroop_Devil_Contest],,*,Harkken,P[511693318@23789296 Harkken@sshookman],Flame Breath,Pn.2cnljp,Physical,Flank,105.31,142.442
17:09:29:21:17:22.4::Harkken,P[511693318@23789296 Harkken@sshookman],,*,,*,Electric Shot,Pn.Atk1ys1,Power,,-12.7718,0
17:09:29:21:17:22.4::Harkken,P[511693318@23789296 Harkken@sshookman],Cragg,C[185516 Pet_Dog],Shocktroop Warlord,C[185055 Ashmadai_Shocktroop_Devil_Contest],Bite,Pn.22si7y1,Physical,,627.908,788.178
17:09:29:21:17:22.5::Harkken,P[511693318@23789296 Harkken@sshookman],,*,Shocktroop Warlord,C[185055 Ashmadai_Shocktroop_Devil_Contest],Electric Shot,Pn.Atk1ys1,Physical,,284.221,333.01
17:09:29:21:17:23.2::Harkken,P[511693318@23789296 Harkken@sshookman],,*,,*,Electric Shot,Pn.6e618t1,Power,,-12.7718,0
17:09:29:21:17:23.3::Imp,C[185056 Ashmadai_Imp_Basic],,*,Harkken,P[511693318@23789296 Harkken@sshookman],Melee Attack,Pn.Tit1py,Physical,Flank,293.227,362.795
17:09:29:21:17:23.5::Harkken,P[511693318@23789296 Harkken@sshookman],,*,Shocktroop Warlord,C[185055 Ashmadai_Shocktroop_Devil_Contest],Electric Shot,Pn.6e618t1,Physical,,300.488,352.069
17:09:29:21:17:24.1::Harkken,P[511693318@23789296 Harkken@sshookman],,*,,*,Electric Shot,Pn.2zr0it1,Power,,-18.2454,0
17:09:29:21:17:24.4::Imp,C[185059 Ashmadai_Imp_Basic],,*,Harkken,P[511693318@23789296 Harkken@sshookman],Melee Attack,Pn.Tit1py,Physical,,247.164,305.803
17:09:29:21:17:24.4::Harkken,P[511693318@23789296 Harkken@sshookman],,*,Shocktroop Warlord,C[185055 Ashmadai_Shocktroop_Devil_Contest],Electric Shot,Pn.2zr0it1,Physical,,456.279,534.604
17:09:29:21:17:25.4::Harkken,P[511693318@23789296 Harkken@sshookman],,*,,*,Electric Shot,Pn.Atk1ys1,Power,,-12.7718,0
17:09:29:21:17:25.5::Harkken,P[511693318@23789296 Harkken@sshookman],,*,Shocktroop Warlord,C[185055 Ashmadai_Shocktroop_Devil_Contest],Electric Shot,Pn.Atk1ys1,Physical,,266.581,312.342
17:09:29:21:17:27.2::Harkken,P[511693318@23789296 Harkken@sshookman],,*,Imp,C[185059 Ashmadai_Imp_Basic],Electric Shot,Pn.Atk1ys1,Physical,Kill,291.506,307.013
17:09:29:21:17:27.2::Harkken,P[511693318@23789296 Harkken@sshookman],,*,Imp,C[185056 Ashmadai_Imp_Basic],Electric Shot,Pn.Atk1ys1,Physical,,260.04,273.874
17:09:29:21:17:27.3::Harkken,P[511693318@23789296 Harkken@sshookman],,*,,*,Electric Shot,Pn.Atk1ys1,Power,,-12.7718,0
17:09:29:21:17:28.1::Harkken,P[511693318@23789296 Harkken@sshookman],,*,Imp,C[185056 Ashmadai_Imp_Basic],Electric Shot,Pn.6e618t1,Physical,Kill,290.101,305.534
17:09:29:21:17:28.1::Harkken,P[511693318@23789296 Harkken@sshookman],,*,,*,Electric Shot,Pn.6e618t1,Power,,-12.7718,0
17:09:29:21:17:28.9::Harkken,P[511693318@23789296 Harkken@sshookman],Cragg,C[185516 Pet_Dog],Shocktroop Warlord,C[185055 Ashmadai_Shocktroop_Devil_Contest],Bite,Pn.22si7y1,Physical,,604.92,759.322
17:09:29:21:17:29.2::Shocktroop Warlord,C[185055 Ashmadai_Shocktroop_Devil_Contest],,*,Harkken,P[511693318@23789296 Harkken@sshookman],Earthbreaker,Pn.Kdigm8,Physical,,2816.17,4039.38
